key,name,accuracy,accident_precision,accident_recall,macro_f1,roc_auc,pr_auc,fpr,avg_latency_ms,fps_clips,gpu_max_memory_mb,best_threshold,best_macro_f1,high_recall_threshold,high_recall_accident_recall,high_recall_fpr,low_fa_threshold,low_fa_accident_recall,low_fa_fpr,checkpoint,inference_dir
videomae_pretrained,VideoMAE-B,0.5766666666666667,0.5672514619883041,0.6466666666666666,0.5745821190500118,0.5869333333333333,0.5502933869470865,0.49333333333333335,78.441,12.749,603.514,0.5,0.5745821190500118,0.44,0.96,0.8866666666666667,0.57,0.09333333333333334,0.08,experiments/accident_mmaction2_baseline/outputs/20260707_1343_videomae_pretrained_medium_1epoch/best_acc_top1_epoch_1.pth,experiments/accident_mmaction2_baseline/outputs/20260707_1343_videomae_pretrained_medium_1epoch_inference
slowfast_pretrained,SlowFast-R50,0.52,0.5131578947368421,0.78,0.4851994851994852,0.5313777777777777,0.5313943231929363,0.74,92.519,10.809,220.278,0.52,0.5295766189570613,0.48,0.96,0.8933333333333333,0.56,0.09333333333333334,0.06666666666666667,experiments/accident_mmaction2_baseline/outputs/20260707_1347_slowfast_pretrained_medium_1epoch/best_acc_top1_epoch_1.pth,experiments/accident_mmaction2_baseline/outputs/20260707_1347_slowfast_pretrained_medium_1epoch_inference
x3d_pretrained,X3D-S,0.51,0.5051903114186851,0.9733333333333334,0.3760522927602258,0.5825777777777777,0.5873192220423142,0.9533333333333334,59.421,16.829,78.884,0.52,0.5346414701253411,0.5,0.9733333333333334,0.9533333333333334,0.53,0.12,0.05333333333333334,experiments/accident_mmaction2_baseline/outputs/20260707_1349_x3d_pretrained_medium_1epoch/best_acc_top1_epoch_1.pth,experiments/accident_mmaction2_baseline/outputs/20260707_1349_x3d_pretrained_medium_1epoch_inference
